longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
62.2,27.9,0.0135,0,0.0059601,0.44148888888888893
62.2,28.0,0.0117,0,0.005145,0.43974358974358974
62.2,28.1,0.0095,0,0.0041888,0.4409263157894737
62.2,28.2,0.0073,0,0.0032164,0.44060273972602737
62.2,28.3,0.0053,0,0.0023294,0.43950943396226416
62.2,28.4,0.0036,0,0.001591,0.4419444444444445
62.2,28.5,0.0023,0,0.0010249,0.4456086956521739
62.2,29.7,0.0001,0,2.68e-05,0.268
62.2,29.8,0.0001,0,2.88e-05,0.288
62.2,29.9,0.0001,0,2.94e-05,0.294
62.2,30.0,0.0001,0,2.74e-05,0.27399999999999997
62.2,30.1,0.0001,0,2.52e-05,0.252
62.3,26.3,0.0001,0,2.46e-05,0.246
62.3,26.4,0.0001,0,5.41e-05,0.5409999999999999
62.3,26.5,0.0003,0,0.0001123,0.3743333333333334
62.3,26.6,0.0005,0,0.00022,0.44
62.3,26.7,0.0009,0,0.0004065,0.4516666666666667
62.3,26.8,0.0016,0,0.0007083,0.4426875
62.3,26.9,0.0026,0,0.0011639,0.4476538461538462
62.3,27.0,0.0041,0,0.001804,0.44
62.3,27.1,0.006,0,0.002637,0.4395
62.3,27.2,0.0083,0,0.0036356,0.4380240963855422
62.3,27.3,0.0107,0,0.0047273,0.44180373831775704
62.3,27.4,0.0132,0,0.0057974,0.4391969696969697
62.3,27.5,0.0152,0,0.0067055,0.44115131578947364
62.3,27.6,0.0166,0,0.0073148,0.44065060240963855
62.3,27.7,0.0171,0,0.0075258,0.4401052631578947
62.3,27.8,0.0166,0,0.0073026,0.43991566265060245
62.3,27.9,0.0152,0,0.0066832,0.4396842105263158
62.3,28.0,0.0131,0,0.0057685,0.4403435114503817
62.3,28.1,0.0107,0,0.004696,0.4388785046728972
62.3,28.2,0.0082,0,0.0036055,0.4396951219512195
62.3,28.3,0.0059,0,0.0026108,0.4425084745762712
62.3,28.4,0.0041,0,0.0017831,0.4349024390243902
62.3,28.5,0.0026,0,0.0011485,0.44173076923076926
62.3,28.6,0.0016,0,0.0006977,0.43606249999999996
62.3,28.7,0.0009,0,0.0004012,0.4457777777777778
62.3,29.0,0.0001,0,6.18e-05,0.618
62.3,29.1,0.0001,0,3.72e-05,0.372
62.3,29.2,0.0001,0,2.9e-05,0.29
62.3,29.3,0.0001,0,2.97e-05,0.297
62.3,29.4,0.0001,0,3.49e-05,0.349
62.3,29.5,0.0001,0,4.15e-05,0.415
62.3,29.6,0.0001,0,4.94e-05,0.494
62.3,29.7,0.0001,0,5.58e-05,0.5579999999999999
62.3,29.8,0.0001,0,5.99e-05,0.599
62.3,29.9,0.0001,0,6.1e-05,0.61
62.3,30.0,0.0001,0,5.87e-05,0.587
62.3,30.1,0.0001,0,5.35e-05,0.5349999999999999
62.3,30.2,0.0001,0,4.52e-05,0.452
62.3,30.3,0.0001,0,3.7e-05,0.36999999999999994
62.3,30.4,0.0001,0,2.85e-05,0.285
62.4,26.3,0.0001,0,2.63e-05,0.26299999999999996
62.4,26.4,0.0001,0,5.8e-05,0.58
62.4,26.5,0.0003,0,0.0001204,0.4013333333333334
62.4,26.6,0.0005,0,0.0002359,0.47179999999999994
62.4,26.7,0.001,0,0.0004357,0.43570000000000003
62.4,26.8,0.0017,0,0.0007592,0.4465882352941177
62.4,26.9,0.0028,0,0.0012475,0.44553571428571426
62.4,27.0,0.0044,0,0.0019334,0.4394090909090909
62.4,27.1,0.0064,0,0.002826,0.44156249999999997
62.4,27.2,0.0089,0,0.0038959,0.43774157303370786
62.4,27.3,0.0115,0,0.0050654,0.44046956521739133
62.4,27.4,0.0141,0,0.0062117,0.44054609929078015
62.4,27.5,0.0163,0,0.0071842,0.4407484662576687
62.4,27.6,0.0178,0,0.0078365,0.440252808988764
62.4,27.7,0.0183,0,0.008062,0.44054644808743165
62.4,27.8,0.0178,0,0.0078224,0.4394606741573034
62.4,27.9,0.0163,0,0.0071585,0.43917177914110433
62.4,28.0,0.014,0,0.0061784,0.44131428571428566
62.4,28.1,0.0114,0,0.0050293,0.4411666666666666
62.4,28.2,0.0088,0,0.0038612,0.43877272727272726
62.4,28.3,0.0064,0,0.0027958,0.43684375000000003
62.4,28.4,0.0043,0,0.0019093,0.4440232558139535
62.4,28.5,0.0028,0,0.0012309,0.43960714285714286
62.4,28.6,0.0017,0,0.000749,0.44058823529411767
62.4,28.7,0.001,0,0.000431,0.431
62.4,28.8,0.0005,0,0.0002389,0.4778
62.4,28.9,0.0003,0,0.00013,0.43333333333333335
62.4,29.0,0.0002,0,7.51e-05,0.37549999999999994
62.4,29.1,0.0001,0,5.27e-05,0.527
62.4,29.2,0.0001,0,4.92e-05,0.492
62.4,29.3,0.0001,0,5.62e-05,0.5619999999999999
62.4,29.4,0.0002,0,6.9e-05,0.345
62.4,29.5,0.0002,0,8.35e-05,0.4175
62.4,29.6,0.0002,0,9.89e-05,0.4945
62.4,29.7,0.0003,0,0.0001114,0.37133333333333335
62.4,29.8,0.0003,0,0.0001193,0.3976666666666667
62.4,29.9,0.0003,0,0.0001211,0.40366666666666673
62.4,30.0,0.0003,0,0.0001165,0.38833333333333336
62.4,30.1,0.0002,0,0.000106,0.53
62.4,30.2,0.0002,0,9.12e-05,0.45599999999999996
62.4,30.3,0.0002,0,7.42e-05,0.371
62.4,30.4,0.0001,0,5.62e-05,0.5619999999999999
62.4,30.5,0.0001,0,4.09e-05,0.409
62.4,30.6,0.0001,0,2.81e-05,0.28099999999999997
62.5,26.3,0.0001,0,2.7e-05,0.26999999999999996
62.5,26.4,0.0001,0,5.93e-05,0.593
62.5,26.5,0.0003,0,0.0001232,0.41066666666666674
62.5,26.6,0.0005,0,0.0002414,0.4828
62.5,26.7,0.001,0,0.0004459,0.44589999999999996
62.5,26.8,0.0018,0,0.0007769,0.4316111111111111
62.5,26.9,0.0029,0,0.0012766,0.4402068965517241
62.5,27.0,0.0045,0,0.0019785,0.43966666666666665
62.5,27.1,0.0066,0,0.0028919,0.4381666666666667
62.5,27.2,0.0091,0,0.0039867,0.4380989010989011
62.5,27.3,0.0118,0,0.0051834,0.43927118644067803
62.5,27.4,0.0144,0,0.0063562,0.4414027777777778
62.5,27.5,0.0167,0,0.0073512,0.44019161676646706
62.5,27.6,0.0182,0,0.0080185,0.44057692307692303
62.5,27.7,0.0187,1,0.0082491,0.4411283422459893
62.5,27.8,0.0182,0,0.0080038,0.43976923076923075
62.5,27.9,0.0166,0,0.0073243,0.44122289156626504
62.5,28.0,0.0144,0,0.0063214,0.4389861111111111
62.5,28.1,0.0117,0,0.0051456,0.4397948717948718
62.5,28.2,0.009,0,0.0039504,0.43893333333333334
62.5,28.3,0.0065,0,0.0028603,0.44004615384615386
62.5,28.4,0.0044,0,0.0019547,0.44425000000000003
62.5,28.5,0.0029,0,0.0012605,0.4346551724137931
62.5,28.6,0.0017,0,0.0007683,0.45194117647058824
62.5,28.7,0.001,0,0.0004473,0.4473
62.5,28.8,0.0006,0,0.000252,0.42000000000000004
62.5,28.9,0.0003,0,0.0001447,0.48233333333333334
62.5,29.0,0.0002,0,9.45e-05,0.47250000000000003
62.5,29.1,0.0002,0,7.96e-05,0.39799999999999996
62.5,29.2,0.0002,0,8.6e-05,0.43
62.5,29.3,0.0002,0,0.0001053,0.5265
62.5,29.4,0.0003,0,0.0001318,0.4393333333333334
62.5,29.5,0.0004,0,0.0001608,0.40199999999999997
62.5,29.6,0.0004,0,0.0001897,0.47425
62.5,29.7,0.0005,0,0.000213,0.426
62.5,29.8,0.0005,0,0.0002274,0.4548
62.5,29.9,0.0005,0,0.0002304,0.4608
62.5,30.0,0.0005,0,0.0002211,0.4422
62.5,30.1,0.0005,0,0.0002009,0.4018
62.5,30.2,0.0004,0,0.0001727,0.43174999999999997
62.5,30.3,0.0003,0,0.0001403,0.4676666666666667
62.5,30.4,0.0002,0,0.0001076,0.5379999999999999
62.5,30.5,0.0002,0,7.71e-05,0.3855
62.5,30.6,0.0001,0,5.29e-05,0.5289999999999999
62.5,30.7,0.0001,0,3.42e-05,0.34199999999999997
62.6,26.3,0.0001,0,2.63e-05,0.26299999999999996
62.6,26.4,0.0001,0,5.8e-05,0.58
62.6,26.5,0.0003,0,0.0001204,0.4013333333333334
62.6,26.6,0.0005,0,0.0002359,0.47179999999999994
62.6,26.7,0.001,0,0.0004357,0.43570000000000003
62.6,26.8,0.0017,0,0.0007592,0.4465882352941177
62.6,26.9,0.0028,0,0.0012475,0.44553571428571426
62.6,27.0,0.0044,0,0.0019334,0.4394090909090909
62.6,27.1,0.0064,0,0.002826,0.44156249999999997
62.6,27.2,0.0089,0,0.0038959,0.43774157303370786
62.6,27.3,0.0115,0,0.0050654,0.44046956521739133
62.6,27.4,0.0141,0,0.0062117,0.44054609929078015
62.6,27.5,0.0163,0,0.0071842,0.4407484662576687
62.6,27.6,0.0178,0,0.0078365,0.440252808988764
62.6,27.7,0.0183,0,0.008062,0.44054644808743165
62.6,27.8,0.0178,0,0.0078224,0.4394606741573034
62.6,27.9,0.0163,0,0.0071585,0.43917177914110433
62.6,28.0,0.014,0,0.0061784,0.44131428571428566
