longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
94.6,5.2,5.5,95,0.000610602365405,0.0580072247135,167,subduction intraslab,2.67075848237,1.07,8.0,5.2N 94.6E 70-180 km depth,5p2N94p6Ez167
94.6,5.4,5.5,95,0.0008211549052,0.078009715994,167,subduction intraslab,2.7994250915,1.07,8.0,5.4N 94.6E 70-180 km depth,5p4N94p6Ez167
94.6,5.6,5.5,95,0.001031707445,0.0980122072745,167,subduction intraslab,2.8985565645,1.07,8.0,5.6N 94.6E 70-180 km depth,5p6N94p6Ez167
94.6,5.8,5.5,95,0.00119593842604,0.113614150473,167,subduction intraslab,2.96270882019,1.07,8.0,5.8N 94.6E 70-180 km depth,5p8N94p6Ez167
94.6,6.0,5.5,95,0.00129279259434,0.122815296462,167,subduction intraslab,2.99652885562,1.07,8.0,6N 94.6E 70-180 km depth,6N94p6Ez167
94.6,6.2,5.5,95,0.00131384784832,0.12481554559,167,subduction intraslab,3.00354507416,1.07,8.0,6.2N 94.6E 70-180 km depth,6p2N94p6Ez167
94.6,6.4,5.5,95,0.00128015944195,0.121615146986,167,subduction intraslab,2.99226406375,1.07,8.0,6.4N 94.6E 70-180 km depth,6p4N94p6Ez167
94.6,6.6,5.5,95,0.00119593842604,0.113614150473,167,subduction intraslab,2.96270882019,1.07,8.0,6.6N 94.6E 70-180 km depth,6p6N94p6Ez167
94.6,6.8,5.5,95,0.00106960690216,0.101612655705,167,subduction intraslab,2.91422419676,1.07,8.0,6.8N 94.6E 70-180 km depth,6p8N94p6Ez167
94.6,7.0,5.5,95,0.000901164870322,0.0856106626806,167,subduction intraslab,2.83980425349,1.07,8.0,7N 94.6E 70-180 km depth,7N94p6Ez167
94.6,7.2,5.5,95,0.000703245482915,0.0668083208769,167,subduction intraslab,2.73210695129,1.07,8.0,7.2N 94.6E 70-180 km depth,7p2N94p6Ez167
94.6,7.4,5.5,95,0.000505326095508,0.0480059790732,167,subduction intraslab,2.58857172619,1.07,8.0,7.4N 94.6E 70-180 km depth,7p4N94p6Ez167
